employee code,agency emp id,employee name,source name,business unit,client name,cost center,pay calendar,shift name,process date,day,punch in time,punch out time,total hours,status,punch in terminal,punch out temrinal,is justified,status2
OB60800,PT117600,FATIMA MOHSEN SAMIR,OUTSOURCE,eMinds,SMB-41984,20085-SMB-SALES-CW41984,48 Hours Weekly,SMB DIGITAL BACK OFFICE,01-AUG-2026,Saturday,,,,Weekly Off,,,,
OB60800,PT117600,FATIMA MOHSEN SAMIR  ,OUTSOURCE,eMinds,SMB-41984,20085-SMB-SALES-CW41984,48 Hours Weekly,SMB DIGITAL BACK OFFICE,02-AUG-2026,Sunday,,,,Weekly Off,,,,
OB60800,PT117600,FATIMA MOHSEN SAMIR  ,OUTSOURCE,eMinds,SMB-41984,20085-SMB-SALES-CW41984,48 Hours Weekly,SMB DIGITAL BACK OFFICE,03-AUG-2026,Monday,03-AUG-2026 08:52:42 AM,03-AUG-2026 06:57:42 PM,10:05,Present,SHJ-HRB-L03-D040 LOBBY ENTRY,DXB-HQ-GF-GATE01 EXIT,,
OB60800,PT117600,FATIMA MOHSEN SAMIR,OUTSOURCE,eMinds,SMB-41984,20085-SMB-SALES-CW41984,48 Hours Weekly,SMB DIGITAL BACK OFFICE,04-AUG-2026,Tuesday,,04-AUG-2026 06:27:05 PM,,Present,,AUH-TWR-L01-D002 EXIT,,
OB60800,PT117600,FATIMA MOHSEN SAMIR,OUTSOURCE,eMinds,SMB-41984,20085-SMB-SALES-CW41984,48 Hours Weekly,SMB DIGITAL BACK OFFICE,05-AUG-2026,Wednesday,05-AUG-2026 09:59:52 AM,05-AUG-2026 07:24:52 PM,09:25,Present,SHJ-HRB-L03-D040 LOBBY ENTRY,SHJ-MSCP-GF-GATE04-TS EXIT EXIT,,
OB60800,PT117600,FATIMA MOHSEN SAMIR,OUTSOURCE,eMinds,SMB-41984,20085-SMB-SALES-CW41984,48 Hours Weekly,SMB DIGITAL BACK OFFICE,06-AUG-2026,Thursday,06-AUG-2026 07:17:34 AM,06-AUG-2026 04:49:34 PM,09:32,Present,SHJ-HRB-L03-D040 LOBBY ENTRY,AUH-TWR-L01-D002 EXIT,,
OB60800,PT117600,FATIMA MOHSEN SAMIR  ,OUTSOURCE,eMinds,SMB-41984,20085-SMB-SALES-CW41984,48 Hours Weekly,SMB DIGITAL BACK OFFICE,07-AUG-2026,Friday,07-AUG-2026 07:36:33 AM,07-AUG-2026 04:56:33 PM,09:20,Present,AUH-TWR-L01-D002 ENTRY,SHJ-MSCP-GF-GATE04-TS EXIT EXIT,,
OB60800,PT117600,FATIMA MOHSEN SAMIR  ,OUTSOURCE,eMinds,SMB-41984,20085-SMB-SALES-CW41984,48 Hours Weekly,SMB DIGITAL BACK OFFICE,08-AUG-2026,Saturday,,,,Weekly Off,,,,
OB60800,PT117600,FATIMA MOHSEN SAMIR,OUTSOURCE,eMinds,SMB-41984,20085-SMB-SALES-CW41984,48 Hours Weekly,SMB DIGITAL BACK OFFICE,09-AUG-2026,Sunday,,,,Weekly Off,,,,
OB60800,PT117600,FATIMA MOHSEN SAMIR,OUTSOURCE,eMinds,SMB-41984,20085-SMB-SALES-CW41984,48 Hours Weekly,SMB DIGITAL BACK OFFICE,10-AUG-2026,Monday,10-AUG-2026 08:43:47 AM,,,Present,SHJ-HRB-L03-D040 LOBBY ENTRY,,,
OB60800,PT117600,FATIMA MOHSEN SAMIR,OUTSOURCE,eMinds,SMB-41984,20085-SMB-SALES-CW41984,48 Hours Weekly,SMB DIGITAL BACK OFFICE,11-AUG-2026,Tuesday,11-AUG-2026 07:00:03 AM,11-AUG-2026 03:01:03 PM,08:01,Present,DXB-HQ-GF-GATE01 ENTRY,AUH-TWR-L01-D002 EXIT,,
OB60800,PT117600,FATIMA MOHSEN SAMIR  ,OUTSOURCE,eMinds,SMB-41984,20085-SMB-SALES-CW41984,48 Hours Weekly,SMB DIGITAL BACK OFFICE,12-AUG-2026,Wednesday,12-AUG-2026 08:29:15 AM,12-AUG-2026 06:36:15 PM,10:07,Present,AUH-TWR-L01-D002 ENTRY,AUH-TWR-L01-D002 EXIT,,
OB60800,PT117600,FATIMA MOHSEN SAMIR  ,OUTSOURCE,eMinds,SMB-41984,20085-SMB-SALES-CW41984,48 Hours Weekly,SMB DIGITAL BACK OFFICE,13-AUG-2026,Thursday,13-AUG-2026 09:05:07 AM,13-AUG-2026 06:12:07 PM,09:07,Present,AUH-TWR-L01-D002 ENTRY,SHJ-MSCP-GF-GATE04-TS EXIT EXIT,,
OB60800,PT117600,FATIMA MOHSEN SAMIR,OUTSOURCE,eMinds,SMB-41984,20085-SMB-SALES-CW41984,48 Hours Weekly,SMB DIGITAL BACK OFFICE,14-AUG-2026,Friday,14-AUG-2026 07:52:15 AM,14-AUG-2026 05:35:15 PM,09:43,Present,AUH-TWR-L01-D002 ENTRY,AUH-TWR-L01-D002 EXIT,,
OB60800,PT117600,FATIMA MOHSEN SAMIR,OUTSOURCE,eMinds,SMB-41984,20085-SMB-SALES-CW41984,48 Hours Weekly,SMB DIGITAL BACK OFFICE,15-AUG-2026,Saturday,,,,Weekly Off,,,,
OB60800,PT117600,FATIMA MOHSEN SAMIR,OUTSOURCE,eMinds,SMB-41984,20085-SMB-SALES-CW41984,48 Hours Weekly,SMB DIGITAL BACK OFFICE,16-AUG-2026,Sunday,,,,Weekly Off,,,,
OB60800,PT117600,FATIMA MOHSEN SAMIR,OUTSOURCE,eMinds,SMB-41984,20085-SMB-SALES-CW41984,48 Hours Weekly,SMB DIGITAL BACK OFFICE,17-AUG-2026,Monday,17-AUG-2026 08:47:45 AM,17-AUG-2026 06:49:45 PM,10:02,Present,AUH-TWR-L01-D002 ENTRY,DXB-HQ-GF-GATE01 EXIT,,
OB60800,PT117600,FATIMA MOHSEN SAMIR,OUTSOURCE,eMinds,SMB-41984,20085-SMB-SALES-CW41984,48 Hours Weekly,SMB DIGITAL BACK OFFICE,18-AUG-2026,Tuesday,18-AUG-2026 07:54:55 AM,18-AUG-2026 06:21:55 PM,10:27,Present,SHJ-HRB-L03-D040 LOBBY ENTRY,SHJ-MSCP-GF-GATE04-TS EXIT EXIT,,
OB60800,PT117600,FATIMA MOHSEN SAMIR,OUTSOURCE,eMinds,SMB-41984,20085-SMB-SALES-CW41984,48 Hours Weekly,SMB DIGITAL BACK OFFICE,19-AUG-2026,Wednesday,,,,Sick Leave,,,,
OB60800,PT117600,FATIMA MOHSEN SAMIR  ,OUTSOURCE,eMinds,SMB-41984,20085-SMB-SALES-CW41984,48 Hours Weekly,SMB DIGITAL BACK OFFICE,20-AUG-2026,Thursday,20-AUG-2026 07:56:06 AM,20-AUG-2026 05:24:06 PM,09:28,Present,SHJ-HRB-L03-D040 LOBBY ENTRY,DXB-HQ-GF-GATE01 EXIT,,
OB60800,PT117600,FATIMA MOHSEN SAMIR,OUTSOURCE,eMinds,SMB-41984,20085-SMB-SALES-CW41984,48 Hours Weekly,SMB DIGITAL BACK OFFICE,21-AUG-2026,Friday,21-AUG-2026 09:35:41 AM,21-AUG-2026 07:19:41 PM,09:44,Present,AUH-TWR-L01-D002 ENTRY,DXB-HQ-GF-GATE01 EXIT,,
OB60800,PT117600,FATIMA MOHSEN SAMIR  ,OUTSOURCE,eMinds,SMB-41984,20085-SMB-SALES-CW41984,48 Hours Weekly,SMB DIGITAL BACK OFFICE,22-AUG-2026,Saturday,,,,Weekly Off,,,,
OB60800,PT117600,FATIMA MOHSEN SAMIR  ,OUTSOURCE,eMinds,SMB-41984,20085-SMB-SALES-CW41984,48 Hours Weekly,SMB DIGITAL BACK OFFICE,23-AUG-2026,Sunday,,,,Weekly Off,,,,
OB60800,PT117600,FATIMA MOHSEN SAMIR,OUTSOURCE,eMinds,SMB-41984,20085-SMB-SALES-CW41984,48 Hours Weekly,SMB DIGITAL BACK OFFICE,24-AUG-2026,Monday,24-AUG-2026 07:04:23 AM,24-AUG-2026 04:24:23 PM,09:20,Present,DXB-HQ-GF-GATE01 ENTRY,SHJ-MSCP-GF-GATE04-TS EXIT EXIT,,
OB60800,PT117600,FATIMA MOHSEN SAMIR,OUTSOURCE,eMinds,SMB-41984,20085-SMB-SALES-CW41984,48 Hours Weekly,SMB DIGITAL BACK OFFICE,25-AUG-2026,Tuesday,25-AUG-2026 08:36:38 AM,25-AUG-2026 06:52:38 PM,10:16,Present,DXB-HQ-GF-GATE01 ENTRY,DXB-HQ-GF-GATE01 EXIT,,
OB60800,PT117600,FATIMA MOHSEN SAMIR,OUTSOURCE,eMinds,SMB-41984,20085-SMB-SALES-CW41984,48 Hours Weekly,SMB DIGITAL BACK OFFICE,26-AUG-2026,Wednesday,26-AUG-2026 07:45:03 AM,26-AUG-2026 03:48:03 PM,08:03,Present,AUH-TWR-L01-D002 ENTRY,AUH-TWR-L01-D002 EXIT,,
OB60800,PT117600,FATIMA MOHSEN SAMIR,OUTSOURCE,eMinds,SMB-41984,20085-SMB-SALES-CW41984,48 Hours Weekly,SMB DIGITAL BACK OFFICE,27-AUG-2026,Thursday,,,,Absent,,,Y,
